sentID.BTEC	sentID	dialect	pred_dialect	raw	CODA
37	0	BEI	BEI	أنا بعطيك رقم تلفونو و عنوانو.	انا باعطيك رقم تلفونه وعنوانه.
78	1	BEI	BEI	فيك تغيرلي مقعدي؟	فيك تغير لي مقعدي؟
89	2	BEI	BEI	إسمك مرة تاني؟	اسمك مرة ثاني؟
100	3	BEI	BEI	في محل شامل قريب من هون؟	في محل شامل قريب من هون؟
134	4	BEI	BEI	هالباص بيروح عأوتيل الشيراتون؟	هالباص بيروح عاوتيل الشيراتون؟
135	5	BEI	BEI	لشو بيصير هيدا؟	لشو بيصير هيدا؟
136	6	BEI	BEI	في شوية شوب. فيي إفتح الشباك؟	في شوية شوب. فيي افتح الشباك؟
139	7	BEI	DOH	عينيي مدممين.	عينيي مدممين.
142	8	BEI	BEI	ما فيي أضمن هيدا، بس رح نعمل جهدنا.	ما فيي اضمن هيدا، بس رح نعمل جهدنا.
156	9	BEI	BEI	أمتين بيبلش ماتش الباسكيت؟	امتين بيبلش ماتش الباسكيت؟
207	10	BEI	BEI	أي نوع من الحجر هيدا؟	اي نوع من الحجر هيدا؟
229	11	BEI	BEI	عن اذنك، إستاذ. حابب زور بعض معالم المدينة ببوستن.	عن اذنك، استاذ. حابب زور بعض معالم المدينة ببوستن.
256	12	BEI	BEI	أنا مهتم بشنطة الإيد الزرقة بالشباك.	انا مهتم بشنطة الايد الزرقة بالشباك.
299	13	BEI	BEI	بدك تاخدو معك أو منبعتلك ياه؟	بدك تاخذه معك او منبعث لك اياه؟
329	14	BEI	BEI	أمتين بيصير في طاولة متوفرة؟	امتين بيصير في طاولة متوفرة؟
454	15	BEI	BEI	بدي مقعد حد الشباك، عمول معروف.	بدي مقعد حد الشباك، اعمول معروف.
480	16	BEI	BEI	بدي أسجل هالشنطة.	بدي اسجل هالشنطة.
487	17	BEI	DOH	صعبة ينقال الوداع.	صعبة ينقال الوداع.
541	18	BEI	RAB	فيا تكون بالمكنة أ بتتغسل بالإيد بالبيت؟	فيها تكون بالمكنة او بتتغسل بالايد بالبيت؟
542	19	BEI	BEI	بدي صندوق ماي ملونة، عمول معروف.	بدي صندوق ماي ملونة، اعمول معروف.
561	20	BEI	BEI	بهالحالة، بنصح بهيدا.	بهالحالة، بانصح بهيدا.
610	21	BEI	BEI	فيك تخلي غراضي الغالية؟	فيك تخلي اغراضي الغالية؟
691	22	BEI	BEI	من النظر إلو، مبين إنك لقطت نوع من الإلتهاب.	من النظر اله، مبين انك لقطت نوع من الالتهاب.
