sentID.BTEC	sentID	dialect	pred_dialect	raw	CODA
37	4200	RAB	RAB	غادي نعطيك رقم التلفون و العنوان ديالو.	غادي نعطيك رقم التلفون والعنوان دياله.
78	4201	RAB	RAB	تقدر تبدل ليا البلاصة عفاك؟	تقدر تبدل لي البلاصة عافاك؟
89	4202	RAB	RAB	شنو سميتك مرة خرا؟	شنو سميتك مرة اخرى؟
100	4203	RAB	RAB	واش كاين شي متجر شامل قريب من هنا؟	واش كاين شي متجر شامل قريب من هنا؟
134	4204	RAB	RAB	واش هاد الطوبيس كايمشي لأوطيل الشيراطون؟	واش هاد الطوبيس كيمشي لاوطيل الشيراطون؟
135	4205	RAB	RAB	شنو كاي عني داكشي؟	شنو كاين عني داكشي؟
136	4206	RAB	RAB	كاين الصهد شوية. واش نقدر نحل الشرجم؟	كاين الصهد شوية. واش نقدر نحل الشرجم؟
139	4207	RAB	RAB	عيني حمرين بزاف.	عيني حمرين بزاف.
142	4208	RAB	RAB	منقدرش نضمن هادشي، ولكن غادي نديرو جهدنا.	ما نقدرش نضمن هاد الشي، ولكن غادي نديروا جهدنا.
156	4209	RAB	RAB	وقتاش الماتش ديال الباسكيط؟	وقتاش الماتش ديال الباسكط؟
207	4210	RAB	RAB	إينا نوع ديال الحجر هادا؟	اينا نوع ديال الحجر هادا؟
229	4211	RAB	RAB	سمح ليا، أ سيدي . بغيت ندير شي سياحة في بوسطن.	اسمح لي، اسيدي. بغيت ندير شي سياحة في بوسطن.
256	4212	RAB	RAB	انا مهتم بالصاك لي في الشرجم.	انا مهتم بالصاك اللي في الشرجم.
299	4213	RAB	RAB	واش غادي تديه معاك ولا نصيفطوه؟	واش غادي تديه معاك ولا نصيفطوه؟
329	4214	RAB	RAB	وقتاش غادي تخوا شي طابلا؟	وقتاش غادي تخوى شي طابلا؟
454	4215	RAB	RAB	بغيت بلاصة حدا الشرجم، عافاك.	بغيت بلاصة حدا الشرجم، عافاك.
480	4216	RAB	RAB	بغيت نقيد هاد الباليزا.	بغيت نقيد هاد الباليزة.
